time,open,high,low,close,#1,#2,#3,#5
1761271740,25314,25315.75,25313,25315,25283.25,25065.75,24843,21269
1761271920,25315,25319.75,25314.75,25318,25283.25,25065.75,24843,21269
1761272100,25317.75,25326.25,25315.5,25325.5,25283.25,25065.75,24843,21269
1761272280,25325,25325.25,25319.5,25322.5,25283.25,25065.75,24843,21269
1761272460,25322,25323.25,25319,25323,25283.25,25065.75,24843,21269
1761272640,25322,25324,25320,25323.5,25283.25,25065.75,24843,21269
1761272820,25323.5,25325,25322.75,25323,25283.25,25065.75,24843,21269
1761273000,25322.5,25323.25,25317.5,25320.5,25283.25,25065.75,24843,21269
1761273180,25320.5,25322.5,25316.25,25317.25,25283.25,25065.75,24843,21269
1761273360,25318,25321.25,25316.5,25319.5,25283.25,25065.75,24843,21269
1761273540,25319.5,25319.5,25314.5,25314.5,25283.25,25065.75,24843,21269
1761273720,25314.5,25315.25,25303,25304.75,25283.25,25065.75,24843,21269
1761273900,25304.5,25311,25304,25309,25283.25,25065.75,24843,21269
1761274080,25310.5,25315,25308.5,25315,25283.25,25065.75,24843,21269
1761274260,25314.25,25315.75,25310.25,25311,25283.25,25065.75,24843,21269
1761274440,25311.75,25316.75,25310.75,25313.75,25283.25,25065.75,24843,21269
1761274620,25313.25,25314,25309,25309.5,25283.25,25065.75,24843,21269
1761274800,25310,25311,25307.5,25307.75,25283.25,25065.75,24843,21269
1761274980,25308.25,25312.75,25308.25,25310.25,25283.25,25065.75,24843,21269
1761275160,25310.75,25313.25,25308.5,25308.75,25283.25,25065.75,24843,21269
1761275340,25308.75,25311.5,25304.5,25305.5,25283.25,25065.75,24843,21269
1761275520,25305,25311,25305,25308.75,25283.25,25065.75,24843,21269
1761275700,25309.25,25315.75,25309.25,25315,25283.25,25065.75,24843,21269
1761275880,25314.25,25322.25,25314,25321.5,25283.25,25065.75,24843,21269
1761276060,25321.25,25328,25321.25,25324,25283.25,25065.75,24843,21269
1761276240,25323.25,25326.5,25323.25,25325,25283.25,25065.75,24843,21269
1761276420,25325.5,25326.75,25323,25326.25,25283.25,25065.75,24843,21269
1761276600,25326,25329.25,25324.75,25327.25,25283.25,25065.75,24843,21269
1761276780,25327.5,25329.25,25325.75,25327.25,25283.25,25065.75,24843,21269
1761276960,25326.25,25329.75,25324.5,25327,25283.25,25065.75,24843,21269
1761277140,25326,25328.25,25325.25,25326,25283.25,25065.75,24843,21269
1761277320,25327.25,25328.25,25326.25,25327,25283.25,25065.75,24843,21269
1761277500,25325.75,25326.5,25324,25325.75,25283.25,25065.75,24843,21269
1761277680,25325.5,25326.5,25324,25326.5,25283.25,25065.75,24843,21269
1761277860,25327.25,25329.25,25327,25328.25,25283.25,25065.75,24843,21269
1761278040,25328,25330,25327.25,25327.5,25283.25,25065.75,24843,21269
1761278220,25328,25330,25327.75,25329,25283.25,25065.75,24843,21269
1761278400,25328.5,25331.75,25327.75,25328.5,25283.25,25065.75,24843,21269
1761278580,25328.75,25329.25,25325.5,25327.25,25283.25,25065.75,24843,21269
1761278760,25328,25328.25,25319.75,25321.25,25283.25,25065.75,24843,21269
1761278940,25321,25326.25,25320.25,25323.75,25283.25,25065.75,24843,21269
1761279120,25324.5,25330.5,25324.5,25329.75,25283.25,25065.75,24843,21269
1761279300,25330,25331.25,25326.25,25327,25283.25,25065.75,24843,21269
1761279480,25328,25331.75,25328,25329.75,25283.25,25065.75,24843,21269
1761279660,25330.25,25333.5,25329.75,25332,25283.25,25065.75,24843,21269
1761279840,25333,25335,25331.5,25333.5,25283.25,25065.75,24843,21269
1761280020,25333.25,25333.5,25325.5,25328.25,25283.25,25065.75,24843,21269
1761280200,25327.25,25328.75,25325,25326.25,25283.25,25065.75,24843,21269
1761280380,25326.5,25329.25,25324.25,25326.25,25283.25,25065.75,24843,21269
1761280560,25325.75,25326.25,25324.25,25325,25283.25,25065.75,24843,21269
1761280740,25324.25,25327.75,25323.25,25327.25,25283.25,25065.75,24843,21269
1761280920,25327,25328.5,25326.5,25327,25283.25,25065.75,24843,21269
1761281100,25327.5,25335.25,25327,25333.75,25283.25,25065.75,24843,21269
1761281280,25334,25334.75,25329.25,25331,25283.25,25065.75,24843,21269
1761281460,25331,25332.5,25327,25327,25283.25,25065.75,24843,21269
1761281640,25326.75,25331.25,25326.25,25331.25,25283.25,25065.75,24843,21269
1761281820,25330.25,25333.75,25329.75,25332.75,25283.25,25065.75,24843,21269
1761282000,25332,25336,25331,25333.75,25283.25,25065.75,24843,21269
1761282180,25333.5,25335.5,25332,25332.25,25283.25,25065.75,24843,21269
1761282360,25332.75,25332.75,25329.25,25330.25,25283.25,25065.75,24843,21269
1761282540,25331.25,25333.5,25330.25,25331,25283.25,25065.75,24843,21269
1761282720,25331.25,25333.25,25329,25329.5,25283.25,25065.75,24843,21269
1761282900,25329.5,25332.5,25327.5,25332.25,25283.25,25065.75,24843,21269
1761283080,25332.25,25336.5,25330.25,25335.5,25283.25,25065.75,24843,21269
1761283260,25335,25335.75,25332.75,25335.75,25283.25,25065.75,24843,21269
1761283440,25336,25345,25336,25343.75,25283.25,25065.75,24843,21269
1761283620,25344.25,25345.25,25342.75,25343,25283.25,25065.75,24843,21269
1761283800,25342.75,25343.75,25335.25,25338,25283.25,25065.75,24843,21269
1761283980,25338,25343.25,25336.75,25339.75,25283.25,25065.75,24843,21269
1761284160,25339.5,25342,25338.25,25341,25283.25,25065.75,24843,21269
1761284340,25340.75,25344.25,25340,25342.75,25283.25,25065.75,24843,21269
1761284520,25343.5,25344,25341.5,25343.75,25283.25,25065.75,24843,21269
1761284700,25342.75,25344.5,25341.75,25344,25283.25,25065.75,24843,21269
1761284880,25344.25,25347.5,25343,25343.25,25283.25,25065.75,24843,21269
1761285060,25344.25,25345,25340.25,25341.5,25283.25,25065.75,24843,21269
1761285240,25342.5,25344.25,25341.5,25343.75,25283.25,25065.75,24843,21269
1761285420,25343.75,25347.25,25343,25346.25,25283.25,25065.75,24843,21269
1761285600,25346.75,25352.5,25345,25346.75,25283.25,25065.75,24843,21269
1761285780,25345.5,25359.5,25345.5,25356,25283.25,25065.75,24843,21269
1761285960,25356,25363,25351.75,25362,25283.25,25065.75,24843,21269
1761286140,25362.25,25370.25,25359.25,25360.5,25283.25,25065.75,24843,21269
1761286320,25360.75,25369,25360.25,25366,25283.25,25065.75,24843,21269
1761286500,25366.75,25373.75,25366.5,25367.25,25283.25,25065.75,24843,21269
1761286680,25367,25376.25,25366.75,25375.75,25283.25,25065.75,24843,21269
1761286860,25375.75,25378.75,25373.75,25378.5,25283.25,25065.75,24843,21269
1761287040,25378.75,25380.75,25375,25378.5,25283.25,25065.75,24843,21269
1761287220,25378.25,25381.5,25376.75,25378.5,25283.25,25065.75,24843,21269
1761287400,25378.75,25378.75,25366.5,25367.5,25283.25,25065.75,24843,21269
1761287580,25367.75,25373.25,25362.25,25363.5,25283.25,25065.75,24843,21269
1761287760,25362.75,25365,25357.75,25363,25283.25,25065.75,24843,21269
1761287940,25362.5,25362.5,25355.75,25361.75,25283.25,25065.75,24843,21269
1761288120,25361.75,25362,25355.25,25357.5,25283.25,25065.75,24843,21269
1761288300,25358,25358,25354.75,25356.5,25283.25,25065.75,24843,21269
1761288480,25357,25364.75,25357,25359,25283.25,25065.75,24843,21269
1761288660,25360,25362,25358.25,25358.75,25283.25,25065.75,24843,21269
1761288840,25359.25,25360,25358.25,25358.75,25283.25,25065.75,24843,21269
1761289020,25358,25363,25358,25360.75,25283.25,25065.75,24843,21269
1761289200,25361.75,25361.75,25353.75,25358.75,25283.25,25065.75,24843,21269
1761289380,25358.5,25365.5,25357.5,25364.25,25283.25,25065.75,24843,21269
1761289560,25364.75,25366.5,25355.5,25359.75,25283.25,25065.75,24843,21269
1761289740,25359.5,25360.5,25355.75,25356,25283.25,25065.75,24843,21269
1761289920,25356.75,25357.25,25350,25353.5,25283.25,25065.75,24843,21269
1761290100,25353.25,25356.5,25347.25,25355.75,25283.25,25065.75,24843,21269
1761290280,25356.5,25356.75,25348,25349,25283.25,25065.75,24843,21269
1761290460,25349,25351.5,25341.75,25345.5,25283.25,25065.75,24843,21269
1761290640,25346,25349.5,25341,25344,25283.25,25065.75,24843,21269
1761290820,25343,25349,25342,25346.5,25283.25,25065.75,24843,21269
1761291000,25347.5,25357,25344.5,25355.75,25283.25,25065.75,24843,21269
1761291180,25355.5,25362,25353.5,25361.25,25283.25,25065.75,24843,21269
1761291360,25361.25,25368.5,25359.75,25362.25,25283.25,25065.75,24843,21269
1761291540,25361,25362.75,25356.25,25361.75,25283.25,25065.75,24843,21269
1761291720,25360.75,25360.75,25355.75,25356,25283.25,25065.75,24843,21269
